Filme;codec;tamanho;;
/media/DISC01/OsMeusFilmes/Mini`s First Time (2007)/Mini`s First Time DVD.mkv;mpeg2video;3,4G;;
/media/DISC01/OsMeusFilmes/Moonraker (1979)/007.Moonraker.1979.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Moonraker (1979)/007.Moonraker.1979.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Moscow Zero (2006)/Moscow Zero.avi;mpeg4;699M;;
/media/DISC01/OsMeusFilmes/My Baby`s Daddy (2004)/My.Babys.Daddy.2004.DVDRip.XviD-DEiTY.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/My Summer of Love (2004)/My Summer of Love.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/New Moon (2009)/New Moon DVD CD1.mkv;mpeg2video;4,7G;;
/media/DISC01/OsMeusFilmes/New Moon (2009)/New Moon DVD CD2.mkv;mpeg2video;2,0G;;
/media/DISC01/OsMeusFilmes/New Moon (2009)/New Moon DVD CD3.mkv;mpeg2video;987M;;
/media/DISC01/OsMeusFilmes/Night at the Museum Battle of the Smithsonian (2009)/Night.At.The.Museum.Battle.of.the.Smithsonian.DVDRiP.XviD-ARROW.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Nights in Rodanthe (2008)/Nights.In.Rodanthe.2008.DvDRip-FxM.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/No Strings Attached (2011)/No Strings Attached.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Nude Nuns with Big Guns (2010)/Nude Nuns with Big Guns.2010.DVDRip.XviD-WBZ.avi;mpeg4;720M;;
/media/DISC01/OsMeusFilmes/Octopussy (1983)/007.Octopussy.1983.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Octopussy (1983)/007.Octopussy.1983.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/On Her Majesty`s Secret Service (1969)/007.On.Her.Majestys.Secret.Service.1969.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/On Her Majesty`s Secret Service (1969)/007.On.Her.Majestys.Secret.Service.1969.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/One for the Money (2012)/One For The Money.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Ong bak 2 (2008)/Ong.Bak.2.2008.DVDRip.XViD-EVO.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/P.S. I Love You (2007)/P.S. I Love You [2007]DvDrip[Eng]-FXG.avi;mpeg4;801M;;
/media/DISC01/OsMeusFilmes/Paranormal Activity (2009)/Paranormal Activity {2009} DVDRIP. Jaybob.avi;mpeg4;908M;;
/media/DISC01/OsMeusFilmes/Pay It Forward (2000)/Pay.It.Forward.2000.iNTERNAL.DVDRip.XviD-FOX CD1.AVI;mpeg4;604M;;
/media/DISC01/OsMeusFilmes/Pay It Forward (2000)/Pay.It.Forward.2000.iNTERNAL.DVDRip.XviD-FOX CD2.AVI;mpeg4;636M;;
/media/DISC01/OsMeusFilmes/Personal Effects (2009)/Personal.Effects.2008.DVDRip.XviD-VoMiT.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Pigs (2007)/bestdivx-pigs.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Poison Ivy The Secret Society (2008)/Poison.Ivy.The.Secret.Society.DVDRip.XviD-BeStDivX.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Pride and Glory (2008)/Pride.and.Glory.MSNM.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/Prom Night (2008)/Prom Night DVD.mkv;mpeg2video;3,0G;;
/media/DISC01/OsMeusFilmes/Puerto Vallarta Squeeze (2005)/Puerto Vallarta Squeeze DVD.mkv;mpeg2video;3,7G;;
/media/DISC01/OsMeusFilmes/Quantum of Solace (2008)/007 Quantum Of Solace__WWW.PIRATATUGA.NET.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Quem És Tu (2001)/Quem.Es.Tu.2001.DVDRip.XviD-CRDS.CD1.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Quem És Tu (2001)/Quem.Es.Tu.2001.DVDRip.XviD-CRDS.CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Ready or Not (2009)/Ready.Or.Not.2009.DVDRip.XviD-VoMiT.avi;mpeg4;695M;;
/media/DISC01/OsMeusFilmes/Rec (2008)/Rec DVD.mkv;mpeg2video;3,5G;;
/media/DISC01/OsMeusFilmes/Recount (2008)/Recount CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Recount (2008)/Recount CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Redbelt (2008)/Redbelt DVD.mkv;mpeg2video;3,0G;;
/media/DISC01/OsMeusFilmes/Restraint (2008)/Restraint.2007.Festival.DVDRip.XviD-iNTiMiD.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Resurrecting the Champ (2008)/Resurrecting.The.Champ.2007.DVDRiP.XViD-HLS .avi;mpeg4;697M;;
/media/DISC01/OsMeusFilmes/Return from Witch Mountain (1978)/Return from Witch Mountain DVD.mkv;mpeg2video;3,3G;;
/media/DISC01/OsMeusFilmes/Return to House on Haunted Hill (2007)/bestdivx-rthohh-xvid.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Road Kill (2010)/Road.Train.2010.DVDRip.XviD.AC3-ViSiON.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Role Models (2008)/Role.Models.2008.CAM.XViD-KiNGBEN.avi;mpeg4;805M;;
/media/DISC01/OsMeusFilmes/Rounders (1999)/Rounders.1998.DVDRip.XviD.AC3-DEViSE.CD-1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Rounders (1999)/Rounders.1998.DVDRip.XviD.AC3-DEViSE.CD-2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/S1m0ne (2002)/Simone.DVDRip.XviD-MSNM.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Sappho (2008)/elia-sappho.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Saw VI (2010)/Saw.6.R5.Line.DvDRip.XviD-FLAWL3SS.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/Saw VI (2010)/Saw.6.R5.Line.DvDRip.XviD-FLAWL3SS.sample.avi;mpeg4;18M;;
/media/DISC01/OsMeusFilmes/School for Seduction (2004)/School for Seduction DVD.mkv;mpeg2video;5,3G;;
/media/DISC01/OsMeusFilmes/Scooby-Doo! The Mystery Begins (2009)/ScoobyDoo The Mystery Begins.2009.DvdRip.Xvid-Noir.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Screamers The Hunting (2009)/ruby-sth.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Seven Pounds (2009)/ltt-seven.avi;mpeg4;902M;;
/media/DISC01/OsMeusFilmes/Sex Drive (2008)/Sex.Drive[2008][Unrated.Edition]DvDrip-aXXo.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Sherlock Holmes (2009)/Sherlock.Holmes.DVDSCR.AC3-IMAGiNE.avi;mpeg4;2,1G;;
/media/DISC01/OsMeusFilmes/Shine (1997)/Shine.1996.DVDRip.XviD.AC3.CD1-WAF.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Shine (1997)/Shine.1996.DVDRip.XviD.AC3.CD2-WAF.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Shiver (2008)/shiver-vh-prod.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Slipstream (2008)/bald-slips.avi;mpeg4;696M;;
/media/DISC01/OsMeusFilmes/Smart People (2008)/dmd-smartpeople.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Smokin` Aces (2007)/Smokin.Aces.CD1.DVDRip.XviD-DiAMOND.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Smokin` Aces (2007)/Smokin.Aces.CD2.DVDRip.XviD-DiAMOND.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Snake Eyes (1998)/Snake Eyes DVD.mkv;mpeg2video;4,6G;;
/media/DISC01/OsMeusFilmes/Snow Angels (2008)/Snow Angels[2007]DvDrip[Eng]-FXG.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Sorte Nula (2004)/Sorte Nula ( PT - PT ).rmvb;rv40;246M;;
/media/DISC01/OsMeusFilmes/Soul Surfer (2011)/Soul Surfer.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Stag Night (2010)/Stag.Night.2008.DVDRip.XviD-ELiA.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/Stan Helsing (2010)/Stan.Helsing.DVDRip.XviD-BULLDOZER.avi;mpeg4;696M;;
/media/DISC01/OsMeusFilmes/Star Crossed (2009)/Amor.em.Jogo.2009.PORTUGUESE.DVDRip.XviD-NYDIC.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Steamboy (2005)/Steamboy DVD.mkv;mpeg2video;4,6G;;
/media/DISC01/OsMeusFilmes/Step Brothers (2008)/Step.Brothers.UNRATED.DVDRip.XviD-DiAMOND.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Stomp the Yard 2 Homecoming (2010)/Stomp The Yard 2 Homecoming.avi;mpeg4;697M;;
/media/DISC01/OsMeusFilmes/Street Kings (2008)/Street Kings DVD.mkv;mpeg2video;3,8G;;
/media/DISC01/OsMeusFilmes/Sunshine Cleaning (2009)/Sunshine.Cleaning.LIMITED.DVDRip.XviD-MoH.avi;mpeg4;699M;;
/media/DISC01/OsMeusFilmes/Super High Me (2008)/[xvid]Super_High_Me.avi;mpeg4;777M;;
/media/DISC01/OsMeusFilmes/Super Hybrid (2010)/Super Hybrid.avi;mpeg4;1,6G;;
/media/DISC01/OsMeusFilmes/Surrogates (2009)/Surrogates.2009.R5.LiNE.XviD.AC3-ViSiON.avi;mpeg4;1,5G;;
/media/DISC01/OsMeusFilmes/Swing Vote (2008)/Swing.Vote[2008]DvDrip-aXXo.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Tadpole (2002)/Tadpole DVD.mkv;mpeg2video;3,7G;;
/media/DISC01/OsMeusFilmes/Taxi (2000)/Taxi (1998).avi;mpeg4;696M;;
/media/DISC01/OsMeusFilmes/Taxi 2 (2000)/Taxi 2 (2000).avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Taxi 3 (2003)/Taxi 3 (2003).avi;mpeg4;704M;;
/media/DISC01/OsMeusFilmes/Tell Tale (2009)/Tell.Tale.2009.DVDRip.XViD-ReenCoTRiN.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Tenderness (2009)/Tenderness.2008.LiMiTED.DVDRip.XviD-SAPHiRE.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Blind Side (2010)/The.Blind.Side.DVDSCR.XviD.AC3-DEViSE.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/The Box (2010)/The Box.2009.R5.Xvid {1337x}-Noir.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/The Boy in the Striped Pajamas (2009)/The boy in the striped Pyjamas.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Brave One (2007)/The.Brave.One.DVDRIp.XviD-NeDiVx.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Bucket List (2008)/The.Bucket.List.2007.DVDRip.XviD-FLAiTE.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Change-Up (2011)/The Change-Up cd1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Change-Up (2011)/The Change-Up cd2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The China Syndrome (1979)/The China Syndrome DVD.mkv;mpeg2video;3,2G;;
/media/DISC01/OsMeusFilmes/The Curious Case of Benjamin Button (2009)/devise-benjamin.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/The Da Vinci Code (2006)/The Da Vinci Code DVD.mkv;mpeg2video;3,7G;;
/media/DISC01/OsMeusFilmes/The Dancer Upstairs (2002)/The Dancer Upstairs DVD.mkv;mpeg2video;4,0G;;
/media/DISC01/OsMeusFilmes/The Darjeeling Limited (2008)/The Darjeeling Limited DVD.mkv;mpeg2video;3,9G;;
/media/DISC01/OsMeusFilmes/The Day After Tomorrow (2004)/The Day After Tomorrow DVD.mkv;mpeg2video;4,1G;;
/media/DISC01/OsMeusFilmes/The Day the Earth Stood Still (2008)/opt-tdtessfix-xvid.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/The Dead Girl (2007)/mdp-dead.girl.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/The Doors (1991)/The Doors DVD.mkv;mpeg2video;5,1G;;
/media/DISC01/OsMeusFilmes/The Duchess (2009)/The Duchess (2008).avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Ex (2009)/The Ex.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/The Fast and the Furious (2001)/The Fast and the Furious DVD.mkv;mpeg2video;2,4G;;
/media/DISC01/OsMeusFilmes/The Forbidden Kingdom (2008)/The Forbidden Kingdom.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/The Fourth Kind (2009)/dmd-fourthkind.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Godfather Part II (1974)/The Godfather Part II DVD.mkv;mpeg2video;4,1G;;
/media/DISC01/OsMeusFilmes/The Godfather Part III (1991)/The Godfather Part III DVD.mkv;mpeg2video;4,0G;;
/media/DISC01/OsMeusFilmes/The Guardian (2006)/The.Guardian.DVDRip.XviD-DiAMOND.Cd1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Guardian (2006)/The.Guardian.DVDRip.XviD-DiAMOND.Cd2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Haunting in Connecticut (2009)/dmd-hic.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Host (2006)/The Host DVD.mkv;mpeg2video;3,6G;;
/media/DISC01/OsMeusFilmes/The Hunting Party (2008)/The.Hunting.Party.LIMITED.DVDRip.XviD-SAPHiRE.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Hurt Locker (2009)/The.Hurt.Locker.2008.DVDRiP.XViD-CiRCLE.CD1.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Hurt Locker (2009)/The.Hurt.Locker.2008.DVDRiP.XViD-CiRCLE.CD2.avi;mpeg4;699M;;
/media/DISC01/OsMeusFilmes/The Incredible Hulk (2008)/The.Incredible.Hulk[2008]DvDrip-aXXo.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/The International (2009)/The.International.2009.BRRip.XviD.AC3-PRoDJi.avi;mpeg4;2,2G;;
/media/DISC01/OsMeusFilmes/The Italian Job (2003)/The Italian Job.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/The Karate Kid (2010)/The.Karate.Kid.2010.480p.BRRip.XviD.AC3-joelpastel.avi;mpeg4;2,5G;;
/media/DISC01/OsMeusFilmes/The Karate Kid, Part II (1986)/The.Karate.Kid.II.1986.480p.BRRip.XviD.AC3-joelpastel.avi;mpeg4;2,0G;;
/media/DISC01/OsMeusFilmes/The Karate Kid, Part III (1989)/The.Karate.Kid.III.1989.480p.BRRip.XviD.AC3-joelpastel.avi;mpeg4;1,7G;;
/media/DISC01/OsMeusFilmes/The Lazarus Project (2008)/bdz-tlaz.dvdrip.xvid.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Life of David Gale (2003)/The.Life.of.David.Gale.DvdRip.XviD.GiGantic.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Living Daylights (1987)/007.The.Living.Daylights.1987.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Living Daylights (1987)/007.The.Living.Daylights.1987.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Longshots (2009)/alli-longshots.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Lost (2009)/The.Lost.2009.DVDRiP.XViD-FiCO.avi;mpeg4;694M;;
/media/DISC01/OsMeusFilmes/The Lucky Ones (2008)/The Lucky Ones CD1.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Lucky Ones (2008)/The Lucky Ones CD2.avi;mpeg4;699M;;
/media/DISC01/OsMeusFilmes/The Man from Earth (2007)/The.Man.From.Earth.DVDRip.XviD-DOMiNO.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/The Man with the Golden Gun (1974)/007.The.Man.With.The.Golden.Gun.1974.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Man with the Golden Gun (1974)/007.The.Man.With.The.Golden.Gun.1974.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Muppets (2012)/Os Marretas__WWW.OXE7.COM.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/The Naked Gun 2½ The Smell of Fear (1991)/The Naked Gun 2 And A Half 1991 DVDRip Xvid iNT-420RipZ.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Naked Gun From the Files of Police Squad! (1989)/The Naked Gun 1988 DVDRip Xvid iNT-420RipZ.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The New Guy (2002)/The New Guy.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Next Karate Kid (1994)/The.Next.Karate. Kid.1994.DVDRip.XviD.AC3-joelpastel.avi;mpeg4;1,2G;;
/media/DISC01/OsMeusFilmes/The Other Guys (2010)/The.Other.Guys.2010.R5.LiNE.XviD.AC3-ViSiON.avi;mpeg4;1,5G;;
/media/DISC01/OsMeusFilmes/The Protector (2006)/The.Protector.2005.DVDRip.XviD.CD1-SAM.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Protector (2006)/The.Protector.2005.DVDRip.XviD.CD2-SAM.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/The Pursuit of Happyness (2007)/The Pursuit Of Happyness CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Pursuit of Happyness (2007)/The Pursuit Of Happyness CD2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Reader (2009)/The.Reader.DVDSCR.XviD-ALLiANCE CD1.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Reader (2009)/The.Reader.DVDSCR.XviD-ALLiANCE CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Rebound (2009)/The.Rebound.2009.DVDRip.XviD-NoGrp.avi;mpeg4;613M;;
/media/DISC01/OsMeusFilmes/The Recruit (2003)/trec-cd1.avi;mpeg4;652M;;
/media/DISC01/OsMeusFilmes/The Recruit (2003)/trec-cd2.avi;mpeg4;671M;;
/media/DISC01/OsMeusFilmes/The Rookie (2002)/The Rookie DVD.mkv;mpeg2video;3,8G;;
/media/DISC01/OsMeusFilmes/The Secret Life of Bees (2008)/The.Secret.Life.Of.Bees[2008][Director's.Cut]DvDrip-aXXo.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Sentinel (2006)/The Sentinel DVD.mkv;mpeg2video;4,5G;;
/media/DISC01/OsMeusFilmes/The Spy Who Loved Me (1977)/007.The.Spy.Who.Loved.Me.1977.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Spy Who Loved Me (1977)/007.The.Spy.Who.Loved.Me.1977.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Strangers (2009)/the strangers__WWW.PIRATATUGA.NET.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Time Traveler`s Wife (2010)/The.Time.Travelers.Wife.2009.DVDRIP.XviD-IMBT.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Tournament (2009)/The Tournament 2009 DvDRip .By.Darky.www.therebels.biz.avi;mpeg4;693M;;
/media/DISC01/OsMeusFilmes/The Transporter (2002)/Transporter (2002) DVDRip - aXXo.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/The Unborn (2009)/mvs-unborn.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/The Wave (2009)/Die Welle[2008]DvDrip[Ger]-FXG.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/The Way of War (2009)/imts-twow-xvid.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/The Wrestler (2009)/The Wrestler MSNM.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/The X Files I Want to Believe (2008)/x files.rmvb;rv40;507M;;
/media/DISC01/OsMeusFilmes/Thunderball (1965)/007.Thunderball.1965.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Thunderball (1965)/007.Thunderball.1965.UE.iNTERNAL.DVDRip.XviD-iNCiTE.CD2.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Tigerland (2001)/Tigerland.DVDRip.XviD-Smeet.avi;mpeg4;801M;;
/media/DISC01/OsMeusFilmes/Transporter 2 (2005)/Transporter.2.[2005].DVDrip.aXXo.avi;mpeg4;809M;;
/media/DISC01/OsMeusFilmes/Transporter 3 (2009)/Transporter.3.2008.DVDRIP.XviD-ZEKTORM.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Tremors (1990)/Tremors 1.avi;msmpeg4;695M;;
/media/DISC01/OsMeusFilmes/Tremors 3 Back to Perfection (2001)/Tremors 3 - Back to Perfection.avi;msmpeg4;669M;;
/media/DISC01/OsMeusFilmes/Trick `r Treat (2007)/Trickr.Treat.2008.STV.DVDRip.XviD-GFW.AVi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/True North (2007)/vmt-tnorth-xvid.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Two Lovers (2009)/nedivx-twolovers.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Under the Mountain (2009)/As.Pedras.De.Fogo.2009.DVDRip.XviD-NoGrp.avi;mpeg4;617M;;
/media/DISC01/OsMeusFilmes/Underclassman (2005)/Underclassman.DVDRip.XviD-DiAMOND.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Untraceable (2008)/Untraceable[2008]R5.DvDrip[Eng]-aXXo.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Up in the Air (2010)/Up.In.The.Air.2009.DVDRip.XviD-Larceny CD1.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Up in the Air (2010)/Up.In.The.Air.2009.DVDRip.XviD-Larceny CD2.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Valkyrie (2009)/Valkyrie.R5.LINE.XviD-COALiTiON.avi;mpeg4;700M;;
/media/DISC01/OsMeusFilmes/Vampires Suck (2010)/Vampires.Suck.R5.AC3.Xvid-CLASSiFiED.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/Vantage Point (2008)/Vantage.Point.READNFO.PROPER.R5.XVID-iGNiTE.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/Veronika Decides to Die (2009)/Veronika.Decide.Morrer.2009.DVDRip.XviD.AC3-EVO.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/Vicky Cristina Barcelona (2009)/Vicky.Cristina.Barcelona.DVDRip.XviD-BeStDivX.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Volcano (1997)/Volcano DVD.mkv;mpeg2video;4,6G;;
/media/DISC01/OsMeusFilmes/Waiting for Forever (2011)/Waiting for Forever.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Waltz with Bashir (2008)/Waltz.With.Bashir.LIMITED.DVDRip.XviD-DMt.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/War, Inc. (2008)/War, Inc.2008.DvDRip-FxM.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Watchmen (2009)/Watchmen DVD.mkv;mpeg2video;4,2G;;
/media/DISC01/OsMeusFilmes/We Own the Night (2008)/We.Own.the.Night.DVDRIP.XviD-THS.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Wedding Crashers (2005)/Wedding.Crashers[2005]DvDrip[Eng][Uncorked]-aXXo.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Wedding Daze (2007)/Wedding Daze DVD.mkv;mpeg2video;3,4G;;
/media/DISC01/OsMeusFilmes/What Doesn`t Kill You (2009)/What.Doesnt.Kill.You.LiMiTED.DVDSCR.XviD-COALiTION.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/What Happens in Vegas (2008)/What.Happens.In.Vegas[2008]DvDrip-aXXo.avi;mpeg4;703M;;
/media/DISC01/OsMeusFilmes/Wicker Park (2004)/Wicker Park DVD.mkv;mpeg2video;4,3G;;
/media/DISC01/OsMeusFilmes/Wild Child (2008)/Garota Mimada.avi;mpeg4;701M;;
/media/DISC01/OsMeusFilmes/Windtalkers (2002)/Windtalkers DVD.mkv;mpeg2video;4,4G;;
/media/DISC01/OsMeusFilmes/Witless Protection (2008)/Witless Protection DVD.mkv;mpeg2video;3,2G;;
/media/DISC01/OsMeusFilmes/Wrecked (2011)/Wrecked.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmes/Wristcutters A Love Story (2007)/Wristcutters A Love Story.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Wrong Turn at Tahoe (2009)/Wrong.Turn.At.Tahoe.2010.DVDRip.XviD-NoGrp.avi;mpeg4;704M;;
/media/DISC01/OsMeusFilmes/X-Men First Class (2011)/X-Men First Class.avi;mpeg4;1,5G;;
/media/DISC01/OsMeusFilmes/Xanadu (1981)/Xanadu.DVDRip.XviD.avi;mpeg4;619M;;
/media/DISC01/OsMeusFilmes/You Got Served (2004)/You.Got.Served.DVDRip.XviD-KSi.avi;mpeg4;698M;;
/media/DISC01/OsMeusFilmes/Zack and Miri Make a Porno (2009)/Zack.and.Miri.Make.A.Porno.R5.LINE.XViD-BaLD.avi;mpeg4;702M;;
/media/DISC01/OsMeusFilmes/Zombieland (2009)/Zombieland (2009) DVDRip XviD-MAX.avi;mpeg4;1,5G;;
/media/DISC01/OsMeusFilmesHD/Black Swan (2011)/Black Swan__WWW.SECTORFILE.COM.avi;mpeg4;1,9G;;
/media/DISC01/OsMeusFilmesHD/Blue Valentine (2011)/Blue Valentine__WWW.OXE7.COM.avi;mpeg4;1,4G;;
/media/DISC01/OsMeusFilmesHD/Fair Game (2010)/Fair Game__WWW.OXE7.COM.avi;mpeg4;1,7G;;
/media/DISC02/OsMeusFilmes/1408 (2007)/1408.(2007).DC.DVDRip-SMCO-Legendado.PT.avi;mpeg4;743M;;
/media/DISC02/OsMeusFilmes/A Bird of the Air (2011)/A Bird of The Air__WWW.OXE7.COM.avi;mpeg4;701M;;
